gender,age_group,race,hispanic,inputstate,education,presvote20post
Male,65+,Hispanic,Yes,California,High school graduate (includes equivalency),Donald Trump
Male,35-54,Hispanic,Yes,New York,High school graduate (includes equivalency),Joe Biden
Female,35-54,Black,No,Ohio,Some college or associate's degree,Joe Biden
Male,65+,Other,No,California,Bachelor's degree,Donald Trump
Female,65+,White,No,Washington,Some college or associate's degree,Joe Biden
Male,18-34,White,No,California,High school graduate (includes equivalency),Joe Biden
Male,35-54,White,No,California,Some college or associate's degree,Joe Biden
Female,35-54,White,No,Oregon,Some college or associate's degree,Joe Biden
Male,18-34,White,No,California,Some college or associate's degree,Donald Trump
Female,35-54,White,No,Rhode Island,Some college or associate's degree,Joe Biden
Female,35-54,White,No,Virginia,High school graduate (includes equivalency),Donald Trump
Male,35-54,White,No,New York,Some college or associate's degree,Donald Trump
Female,35-54,White,No,Texas,Some college or associate's degree,Donald Trump
Female,18-34,White,No,New Jersey,Some college or associate's degree,Joe Biden
Female,18-34,White,No,Missouri,Some college or associate's degree,Joe Biden
Female,35-54,White,No,Montana,Some college or associate's degree,Donald Trump
Male,18-34,Hispanic,Yes,Texas,Bachelor's degree,Joe Biden
Female,35-54,Black,No,Georgia,High school graduate (includes equivalency),Joe Biden
Female,18-34,Black,No,Florida,High school graduate (includes equivalency),Joe Biden
Male,18-34,White,No,Michigan,High school graduate (includes equivalency),Donald Trump
Male,35-54,White,No,New York,High school graduate (includes equivalency),Joe Biden
Male,35-54,White,No,New Jersey,Some college or associate's degree,Joe Biden
Male,18-34,Other,No,New York,High school graduate (includes equivalency),Joe Biden
Male,18-34,White,No,Georgia,Bachelor's degree,Joe Biden
Female,18-34,White,No,Florida,High school graduate (includes equivalency),Joe Biden
Female,18-34,White,No,New Jersey,Bachelor's degree,Joe Biden
Female,18-34,White,No,Hawaii,Bachelor's degree,Joe Biden
Female,35-54,White,No,North Carolina,Bachelor's degree,Joe Biden
Male,35-54,Hispanic,Yes,Wisconsin,High school graduate (includes equivalency),Joe Biden
Male,35-54,Asian,No,California,Graduate or professional degree,Joe Biden
Male,18-34,Native American,No,New York,Some college or associate's degree,Joe Biden
Female,18-34,White,No,New Hampshire,High school graduate (includes equivalency),Donald Trump
Male,18-34,Hispanic,Yes,Texas,Some college or associate's degree,Donald Trump
Male,35-54,Two or more races,Yes,Colorado,High school graduate (includes equivalency),Donald Trump
Male,18-34,Hispanic,Yes,California,Some college or associate's degree,Joe Biden
Male,35-54,White,No,Michigan,Some college or associate's degree,Donald Trump
Male,35-54,White,No,Illinois,Some college or associate's degree,Joe Biden
Male,18-34,White,No,New Jersey,Some college or associate's degree,Joe Biden
Female,65+,White,No,Vermont,Some college or associate's degree,Joe Biden
Male,35-54,White,No,Indiana,Some college or associate's degree,Joe Biden
Female,35-54,White,No,Ohio,Some college or associate's degree,Joe Biden
Male,35-54,White,No,New York,Some college or associate's degree,Donald Trump
Male,35-54,White,No,Illinois,Some college or associate's degree,Joe Biden
Female,35-54,White,No,Connecticut,Some college or associate's degree,Joe Biden
Female,35-54,Hispanic,Yes,California,Bachelor's degree,Joe Biden
Female,35-54,Asian,No,Michigan,Bachelor's degree,Joe Biden
Male,18-34,White,No,California,Bachelor's degree,Joe Biden
Male,35-54,White,No,Illinois,Bachelor's degree,Joe Biden
Male,18-34,White,No,Missouri,Bachelor's degree,Joe Biden
Female,35-54,White,No,Ohio,Bachelor's degree,Donald Trump
Female,35-54,White,No,California,Bachelor's degree,Joe Biden
Female,35-54,White,No,Washington,Bachelor's degree,Joe Biden
Female,35-54,Asian,No,California,Graduate or professional degree,Joe Biden
Male,35-54,White,No,Florida,Graduate or professional degree,Joe Biden
Male,18-34,Middle Eastern,No,Illinois,Bachelor's degree,Joe Biden
Male,18-34,White,Yes,Texas,No high school diploma,Joe Biden
Male,18-34,White,Yes,Alabama,Bachelor's degree,Joe Biden
Male,18-34,Other,No,Colorado,Graduate or professional degree,Joe Biden
Male,35-54,White,No,Michigan,Bachelor's degree,Donald Trump
Female,18-34,Native American,No,California,Bachelor's degree,Joe Biden
Female,18-34,White,No,Indiana,Bachelor's degree,Donald Trump
Male,18-34,White,No,Illinois,Graduate or professional degree,Donald Trump
Male,35-54,White,No,Colorado,Bachelor's degree,Joe Biden
Male,35-54,White,No,Oklahoma,Graduate or professional degree,Joe Biden
Male,18-34,White,No,California,Graduate or professional degree,Joe Biden
Male,35-54,White,No,Florida,Bachelor's degree,Joe Biden
Female,18-34,White,No,California,Graduate or professional degree,Joe Biden
Female,35-54,White,No,Michigan,Bachelor's degree,Donald Trump
Male,35-54,White,No,Florida,Graduate or professional degree,Donald Trump
Female,18-34,Black,No,Texas,Some college or associate's degree,Joe Biden
Female,18-34,Black,No,Texas,Some college or associate's degree,Joe Biden
Female,35-54,Hispanic,Yes,Florida,High school graduate (includes equivalency),Joe Biden
Female,65+,Two or more races,No,Arkansas,High school graduate (includes equivalency),Donald Trump
Female,65+,Black,No,North Carolina,High school graduate (includes equivalency),Joe Biden
Female,35-54,Hispanic,Yes,Florida,High school graduate (includes equivalency),Joe Biden
Female,65+,Hispanic,Yes,Florida,High school graduate (includes equivalency),Joe Biden
Female,18-34,Black,No,California,Some college or associate's degree,Donald Trump
Male,35-54,Hispanic,Yes,Oklahoma,Some college or associate's degree,Joe Biden
Female,65+,White,No,Washington,Some college or associate's degree,Joe Biden
Female,65+,White,No,Pennsylvania,High school graduate (includes equivalency),Joe Biden
Female,65+,White,No,Tennessee,High school graduate (includes equivalency),Joe Biden
Female,65+,White,No,Ohio,High school graduate (includes equivalency),Joe Biden
Female,35-54,White,No,Arizona,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Georgia,High school graduate (includes equivalency),Joe Biden
Female,65+,White,No,Massachusetts,High school graduate (includes equivalency),Joe Biden
Female,65+,White,No,Mississippi,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Pennsylvania,High school graduate (includes equivalency),Joe Biden
Male,65+,White,No,Texas,No high school diploma,Donald Trump
Male,65+,White,No,Pennsylvania,High school graduate (includes equivalency),Joe Biden
Male,35-54,White,No,Nebraska,High school graduate (includes equivalency),Joe Biden
Female,35-54,White,No,Louisiana,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Texas,Some college or associate's degree,Donald Trump
Female,65+,White,No,New York,Some college or associate's degree,Joe Biden
Female,65+,White,No,Delaware,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Illinois,Some college or associate's degree,Joe Biden
Female,65+,White,No,Maryland,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Virginia,No high school diploma,Donald Trump
Female,65+,White,No,Nevada,Some college or associate's degree,Joe Biden
Male,65+,White,No,Ohio,High school graduate (includes equivalency),Joe Biden
Female,65+,White,No,California,Some college or associate's degree,Joe Biden
Female,18-34,White,No,Georgia,High school graduate (includes equivalency),Donald Trump
Male,65+,White,No,Missouri,High school graduate (includes equivalency),Joe Biden
Male,65+,White,No,Tennessee,High school graduate (includes equivalency),Donald Trump
